,VB,VBG,VBN,VBZ,VBD,NN,NNP,RB,RBR,RBS,JJ,JJR,JJS,DT,PRP,IN,MD,NNS,WRB,CC,WP,PDT
297,,,,,,friend,,,,,early,,,,,,,decoys,,,,
298,,,,,,purser,,,,,historical,,,,,,,acknowledgements,,,,
299,,,,,,advice,,,,,overwhelming,,,,,,,careers,,,,
300,,,,,,vain,,,,,blank,,,,,,,lens,,,,
301,,,,,,effort,,,,,married,,,,,,,eggs,,,,
302,,,,,,help,,,,,day-to-day,,,,,,,watchers,,,,
303,,,,,,acquaintance,,,,,along,,,,,,,companions,,,,
304,,,,,,faux,,,,,violent,,,,,,,grandkids,,,,
305,,,,,,pas,,,,,radical,,,,,,,dales,,,,
306,,,,,,fellow,,,,,revolutionary,,,,,,,reserves,,,,
307,,,,,,master,,,,,favorite,,,,,,,habitats,,,,
308,,,,,,wallet,,,,,peasant,,,,,,,retirees,,,,
309,,,,,,passport,,,,,proletarian,,,,,,,birders,,,,
310,,,,,,money,,,,,wintertime,,,,,,,attorneys,,,,
311,,,,,,shore,,,,,idealistic,,,,,,,lawyers,,,,
312,,,,,,tourist,,,,,live,,,,,,,projects,,,,
313,,,,,,tour,,,,,illegal,,,,,,,witnesses,,,,
314,,,,,,evening,,,,,massive,,,,,,,guys,,,,
315,,,,,,embark,,,,,mural,,,,,,,views,,,,
316,,,,,,exploration,,,,,hatchet-faced,,,,,,,points,,,,
317,,,,,,stowaway,,,,,confused,,,,,,,cover-ups,,,,
318,,,,,,gentleman,,,,,uneasy,,,,,,,priests,,,,
319,,,,,,fatherland,,,,,toboggan,,,,,,,group-representatives,,,,
320,,,,,,thinker,,,,,closed-circuit,,,,,,,countries,,,,
321,,,,,,courage,,,,,amazing,,,,,,,bounds,,,,
322,,,,,,fortitude,,,,,elementary,,,,,,,positions,,,,
323,,,,,,faith,,,,,perfect,,,,,,,newspapers,,,,
324,,,,,,system,,,,,nervous,,,,,,,reports,,,,
325,,,,,,owner,,,,,brilliant,,,,,,,deliberations,,,,
326,,,,,,background,,,,,unconquerable,,,,,,,measures,,,,
327,,,,,,condition,,,,,Little,,,,,,,negotiators,,,,
328,,,,,,negligence,,,,,moral,,,,,,,negotiations,,,,
329,,,,,,fault,,,,,Madame,,,,,,,principles,,,,
330,,,,,,part,,,,,advanced,,,,,,,tense,,,,
331,,,,,,planning,,,,,incomprehensible,,,,,,,transactions,,,,
332,,,,,,presence,,,,,simple,,,,,,,teenagers,,,,
333,,,,,,Nothing,,,,,gray,,,,,,,decisions,,,,
334,,,,,,discussion,,,,,overall,,,,,,,pursuits,,,,
335,,,,,,liner,,,,,stern,,,,,,,burdens,,,,
336,,,,,,salesman,,,,,qualified,,,,,,,sunglasses,,,,
337,,,,,,shoe,,,,,efficient,,,,,,,leaves,,,,
338,,,,,,magazine,,,,,scientific,,,,,,,adults,,,,
339,,,,,,patron,,,,,serious,,,,,,,chores,,,,
340,,,,,,polish,,,,,epidemic,,,,,,,clippings,,,,
341,,,,,,expense,,,,,test-tube,,,,,,,beds,,,,
342,,,,,,humiliation,,,,,worth,,,,,,,piles,,,,
343,,,,,,compensation,,,,,human,,,,,,,bags,,,,
344,,,,,,like,,,,,cruel,,,,,,,trees,,,,
345,,,,,,embarrassment,,,,,take,,,,,,,cuttings,,,,
346,,,,,,merchant,,,,,rational,,,,,,,ports,,,,
347,,,,,,argument,,,,,adversary,,,,,,,sails,,,,
348,,,,,,accommodation,,,,,broken,,,,,,,figurines,,,,
349,,,,,,passage,,,,,unusual,,,,,,,sweaters,,,,
350,,,,,,error,,,,,valid,,,,,,,loops,,,,
351,,,,,,mistake,,,,,eager,,,,,,,produces,,,,
352,,,,,,Class,,,,,watchful,,,,,,,rhinestones,,,,
353,,,,,,cabin,,,,,experiment,,,,,,,knitting-needles,,,,
354,,,,,,lying,,,,,jealous,,,,,,,weights,,,,
355,,,,,,eventless,,,,,picky,,,,,,,homes,,,,
356,,,,,,everything,,,,,ball,,,,,,,clients,,,,
357,,,,,,specialty,,,,,blatant,,,,,,,buildings,,,,
358,,,,,,trail,,,,,sexual,,,,,,,complexes,,,,
359,,,,,,morning,,,,,separate,,,,,,,People,,,,
360,,,,,,crack,,,,,slow,,,,,,,townsmen,,,,
361,,,,,,corner,,,,,modular,,,,,,,exclaims,,,,
362,,,,,,sit,,,,,entire,,,,,,,kiddies,,,,
363,,,,,,issue,,,,,nuclear,,,,,,,suspects,,,,
364,,,,,,parting,,,,,enough,,,,,,,thinks,,,,
365,,,,,,johns,,,,,lucky,,,,,,,goals,,,,
366,,,,,,freezing,,,,,innocent,,,,,,,dreams,,,,
367,,,,,,corn,,,,,unconvinced,,,,,,,tears,,,,
368,,,,,,blimp,,,,,oblivious,,,,,,,brains,,,,
369,,,,,,head,,,,,infectious,,,,,,,accomplishments,,,,
370,,,,,,humming,,,,,fatal,,,,,,,chemicals,,,,
371,,,,,,youth,,,,,significant,,,,,,,breaths,,,,
372,,,,,,weight,,,,,strong,,,,,,,wars,,,,
373,,,,,,disappointment,,,,,light,,,,,,,cells,,,,
374,,,,,,door,,,,,easy,,,,,,,roots,,,,
375,,,,,,neighbor,,,,,positive,,,,,,,spinners,,,,
376,,,,,,dog,,,,,bashful,,,,,,,trapezes,,,,
377,,,,,,manure,,,,,assistant,,,,,,,poles,,,,
378,,,,,,vision,,,,,female,,,,,,,comrades,,,,
379,,,,,,afternoon,,,,,intense,,,,,,,Cokes,,,,
380,,,,,,manner,,,,,unfaithful,,,,,,,towns,,,,
381,,,,,,couple,,,,,candid,,,,,,,guns,,,,
382,,,,,,guy,,,,,spacious,,,,,,,tanks,,,,
383,,,,,,firm,,,,,stimulating,,,,,,,ties,,,,
384,,,,,,persuasion,,,,,triple,,,,,,,heels,,,,
385,,,,,,earnestness,,,,,acrobatic,,,,,,,onions,,,,
386,,,,,,jacket,,,,,disastrous,,,,,,,chairs,,,,
387,,,,,,flapping,,,,,strenuous,,,,,,,broken,,,,
388,,,,,,beach,,,,,physical,,,,,,,facts,,,,
389,,,,,,bent,,,,,stable,,,,,,,spirits,,,,
390,,,,,,distress,,,,,Arabian,,,,,,,animals,,,,
391,,,,,,arm,,,,,huge,,,,,,,wildflowers,,,,
392,,,,,,technician,,,,,dear,,,,,,,travels,,,,
393,,,,,,chemical,,,,,unconscious,,,,,,,servants,,,,
394,,,,,,image,,,,,hidden,,,,,,,amenities,,,,
395,,,,,,grey,,,,,twenty,,,,,,,powers,,,,
396,,,,,,snow,,,,,fine,,,,,,,pickers,,,,
397,,,,,,room,,,,,farming,,,,,,,Fathers,,,,
398,,,,,,order,,,,,English,,,,,,,,,,,
399,,,,,,Winter,,,,,nearby,,,,,,,,,,,
400,,,,,,coldness,,,,,comfortable,,,,,,,,,,,
401,,,,,,warmth,,,,,scared,,,,,,,,,,,
402,,,,,,beauty,,,,,Indian,,,,,,,,,,,
403,,,,,,Anyone,,,,,police,,,,,,,,,,,
404,,,,,,shone,,,,,detective,,,,,,,,,,,
405,,,,,,security,,,,,red-handed,,,,,,,,,,,
406,,,,,,war,,,,,enjoyable,,,,,,,,,,,
407,,,,,,beginning,,,,,losing,,,,,,,,,,,
408,,,,,,plan,,,,,rich,,,,,,,,,,,
409,,,,,,sister,,,,,attractive,,,,,,,,,,,
410,,,,,,foolishness,,,,,guy,,,,,,,,,,,
411,,,,,,breather,,,,,self,,,,,,,,,,,
412,,,,,,passerby,,,,,spent,,,,,,,,,,,
413,,,,,,affair,,,,,co-op,,,,,,,,,,,
414,,,,,,boy,,,,,tough,,,,,,,,,,,
415,,,,,,coffee,,,,,different,,,,,,,,,,,
416,,,,,,cafe,,,,,oatmeal,,,,,,,,,,,
417,,,,,,breakfast,,,,,yellow,,,,,,,,,,,
418,,,,,,sitting,,,,,single,,,,,,,,,,,
419,,,,,,silence,,,,,special,,,,,,,,,,,
420,,,,,,question,,,,,mid-week,,,,,,,,,,,
421,,,,,,agree,,,,,sunny,,,,,,,,,,,
422,,,,,,chemistry,,,,,reminded,,,,,,,,,,,
423,,,,,,complex,,,,,fun,,,,,,,,,,,
424,,,,,,climax,,,,,outside,,,,,,,,,,,
425,,,,,,discovery,,,,,lovely,,,,,,,,,,,
426,,,,,,composure,,,,,warm,,,,,,,,,,,
427,,,,,,anyone,,,,,exciting,,,,,,,,,,,
428,,,,,,associate,,,,,love,,,,,,,,,,,
429,,,,,,culture,,,,,dreary,,,,,,,,,,,
430,,,,,,test,,,,,biomedical,,,,,,,,,,,
431,,,,,,tube,,,,,reflective,,,,,,,,,,,
432,,,,,,valid,,,,,umpteenth,,,,,,,,,,,
433,,,,,,Think,,,,,encouraging,,,,,,,,,,,
434,,,,,,credit,,,,,polite,,,,,,,,,,,
435,,,,,,desire,,,,,circus,,,,,,,,,,,
436,,,,,,answer,,,,,trapeze,,,,,,,,,,,
437,,,,,,liquid,,,,,top,,,,,,,,,,,
438,,,,,,assistant,,,,,confident,,,,,,,,,,,
439,,,,,,Everything,,,,,unstable,,,,,,,,,,,
440,,,,,,tension,,,,,standard,,,,,,,,,,,
441,,,,,,child,,,,,professional,,,,,,,,,,,
442,,,,,,composition,,,,,creative,,,,,,,,,,,
443,,,,,,hitherto,,,,,showy,,,,,,,,,,,
444,,,,,,watching,,,,,wonderful,,,,,,,,,,,
445,,,,,,bazooka,,,,,reliable,,,,,,,,,,,
446,,,,,,pocket,,,,,pregnant,,,,,,,,,,,
447,,,,,,glory,,,,,marital,,,,,,,,,,,
448,,,,,,mine,,,,,needed,,,,,,,,,,,
449,,,,,,Madame,,,,,difficult,,,,,,,,,,,
450,,,,,,food,,,,,tired,,,,,,,,,,,
451,,,,,,dye,,,,,dependable,,,,,,,,,,,
452,,,,,,health,,,,,thru,,,,,,,,,,,
453,,,,,,moment,,,,,honest,,,,,,,,,,,
454,,,,,,guard,,,,,rolling,,,,,,,,,,,
455,,,,,,lieutenant,,,,,radio,,,,,,,,,,,
456,,,,,,charge,,,,,various,,,,,,,,,,,
457,,,,,,fiancée,,,,,competent,,,,,,,,,,,
458,,,,,,repair,,,,,well-regarded,,,,,,,,,,,
459,,,,,,student,,,,,humorous,,,,,,,,,,,
460,,,,,,mentor,,,,,reticent,,,,,,,,,,,
461,,,,,,indication,,,,,surprised,,,,,,,,,,,
462,,,,,,colleague,,,,,uncomfortable,,,,,,,,,,,
463,,,,,,interest,,,,,responsible,,,,,,,,,,,
464,,,,,,pupil,,,,,loyal,,,,,,,,,,,
465,,,,,,tacit,,,,,hassled,,,,,,,,,,,
466,,,,,,facility,,,,,unmarried,,,,,,,,,,,
467,,,,,,reconsideration,,,,,worried,,,,,,,,,,,
468,,,,,,necessity,,,,,negligent,,,,,,,,,,,
469,,,,,,fight,,,,,fast,,,,,,,,,,,
470,,,,,,elder,,,,,brief,,,,,,,,,,,
471,,,,,,Perchance,,,,,busy,,,,,,,,,,,
472,,,,,,anticipation,,,,,sick,,,,,,,,,,,
473,,,,,,study,,,,,secluded,,,,,,,,,,,
474,,,,,,lady,,,,,faithful,,,,,,,,,,,
475,,,,,,drop,,,,,high-prestige,,,,,,,,,,,
476,,,,,,pipette,,,,,birdwatchers/,,,,,,,,,,,
477,,,,,,gaze,,,,,interesting,,,,,,,,,,,
478,,,,,,profession,,,,,middle-aged,,,,,,,,,,,
479,,,,,,expectancy,,,,,photographing,,,,,,,,,,,
480,,,,,,male,,,,,tall,,,,,,,,,,,
481,,,,,,routine,,,,,avid,,,,,,,,,,,
482,,,,,,characteristic,,,,,Free,,,,,,,,,,,
483,,,,,,difference,,,,,gentian,,,,,,,,,,,
484,,,,,,foreground,,,,,keen,,,,,,,,,,,
485,,,,,,claim,,,,,wild,,,,,,,,,,,
486,,,,,,co-worker,,,,,back-seat,,,,,,,,,,,
487,,,,,,tubes,,,,,hot,,,,,,,,,,,
488,,,,,,biochemist,,,,,prominent,,,,,,,,,,,
489,,,,,,professor,,,,,guilty,,,,,,,,,,,
490,,,,,,failure,,,,,American,,,,,,,,,,,
491,,,,,,brink,,,,,terrific,,,,,,,,,,,
492,,,,,,graduate,,,,,high-powered,,,,,,,,,,,
493,,,,,,ocean,,,,,governmental,,,,,,,,,,,
494,,,,,,attention,,,,,bright,,,,,,,,,,,
495,,,,,,honor,,,,,vast,,,,,,,,,,,
496,,,,,,freighter,,,,,annoyed,,,,,,,,,,,
497,,,,,,civilian,,,,,social,,,,,,,,,,,
498,,,,,,shipping,,,,,natural,,,,,,,,,,,
499,,,,,,design,,,,,central,,,,,,,,,,,
500,,,,,,official,,,,,prepared,,,,,,,,,,,
501,,,,,,prototype,,,,,diplomatic,,,,,,,,,,,
502,,,,,,controversy,,,,,economic,,,,,,,,,,,
503,,,,,,director,,,,,military,,,,,,,,,,,
504,,,,,,threat,,,,,Soviet,,,,,,,,,,,
505,,,,,,tarantulas,,,,,foreign,,,,,,,,,,,
506,,,,,,cargo,,,,,third,,,,,,,,,,,
507,,,,,,wartime,,,,,false,,,,,,,,,,,
508,,,,,,responsibility,,,,,senate,,,,,,,,,,,
509,,,,,,underground,,,,,numerous,,,,,,,,,,,
510,,,,,,whatever,,,,,fraudulent,,,,,,,,,,,
511,,,,,,trouble,,,,,optimistic,,,,,,,,,,,
512,,,,,,skeleton,,,,,capable,,,,,,,,,,,
513,,,,,,closet,,,,,contemplative,,,,,,,,,,,
514,,,,,,disgrace,,,,,sweet,,,,,,,,,,,
515,,,,,,whistle,,,,,yard,,,,,,,,,,,
516,,,,,,ashore,,,,,casual,,,,,,,,,,,
517,,,,,,post,,,,,material,,,,,,,,,,,
518,,,,,,goodbye,,,,,Many,,,,,,,,,,,
519,,,,,,word,,,,,major,,,,,,,,,,,
520,,,,,,client,,,,,High,,,,,,,,,,,
521,,,,,,representative,,,,,funny,,,,,,,,,,,
522,,,,,,doctor,,,,,alive,,,,,,,,,,,
523,,,,,,stateroom,,,,,transient,,,,,,,,,,,
524,,,,,,pain,,,,,true,,,,,,,,,,,
525,,,,,,plague,,,,,hair,,,,,,,,,,,
526,,,,,,grain,,,,,fifteen,,,,,,,,,,,
527,,,,,,storage,,,,,upcoming,,,,,,,,,,,
528,,,,,,super-tanker,,,,,arrive,,,,,,,,,,,
529,,,,,,undertaking,,,,,Serious,,,,,,,,,,,
530,,,,,,effect,,,,,definite,,,,,,,,,,,
531,,,,,,rate,,,,,antique,,,,,,,,,,,
532,,,,,,fire,,,,,Maltese,,,,,,,,,,,
533,,,,,,inspector,,,,,undercover,,,,,,,,,,,
534,,,,,,bed,,,,,listen,,,,,,,,,,,
535,,,,,,divorce,,,,,cashmere,,,,,,,,,,,
536,,,,,,source,,,,,wide,,,,,,,,,,,
537,,,,,,pay,,,,,architectural,,,,,,,,,,,
538,,,,,,training,,,,,industrial,,,,,,,,,,,
539,,,,,,bank,,,,,townspeople,,,,,,,,,,,
540,,,,,,landmark,,,,,fellow,,,,,,,,,,,
541,,,,,,nation,,,,,torturous,,,,,,,,,,,
542,,,,,,implication,,,,,torn,,,,,,,,,,,
543,,,,,,heritage,,,,,cynical,,,,,,,,,,,
544,,,,,,generation,,,,,smarmy,,,,,,,,,,,
545,,,,,,idea,,,,,lunch,,,,,,,,,,,
546,,,,,,group,,,,,immediate,,,,,,,,,,,
547,,,,,,promise,,,,,related,,,,,,,,,,,
548,,,,,,place,,,,,fearful,,,,,,,,,,,
549,,,,,,slate,,,,,questionable,,,,,,,,,,,
550,,,,,,dirt,,,,,acceptable,,,,,,,,,,,
551,,,,,,icy,,,,,stuffy,,,,,,,,,,,
552,,,,,,weather,,,,,blue-blood,,,,,,,,,,,
553,,,,,,problem,,,,,snotty,,,,,,,,,,,
554,,,,,,Shall,,,,,attracted,,,,,,,,,,,
555,,,,,,suggestion,,,,,impressed,,,,,,,,,,,
556,,,,,,wait,,,,,autocratic,,,,,,,,,,,
557,,,,,,grind,,,,,shy,,,,,,,,,,,
558,,,,,,painter,,,,,unassertive,,,,,,,,,,,
559,,,,,,stuff,,,,,productive,,,,,,,,,,,
560,,,,,,park,,,,,deadly,,,,,,,,,,,
561,,,,,,gore,,,,,Nobel-prize,,,,,,,,,,,
562,,,,,,dress,,,,,less-talented,,,,,,,,,,,
563,,,,,,tundra,,,,,adolescent,,,,,,,,,,,
564,,,,,,happiness,,,,,staggering,,,,,,,,,,,
565,,,,,,wealth,,,,,unjust,,,,,,,,,,,
566,,,,,,store,,,,,modern,,,,,,,,,,,
567,,,,,,hanging,,,,,sixteen,,,,,,,,,,,
568,,,,,,sword,,,,,useless,,,,,,,,,,,
569,,,,,,prisoner,,,,,unsure,,,,,,,,,,,
570,,,,,,character,,,,,double,,,,,,,,,,,
571,,,,,,top,,,,,shelling,,,,,,,,,,,
572,,,,,,fearlessness,,,,,shallow,,,,,,,,,,,
573,,,,,,turn,,,,,upward,,,,,,,,,,,
574,,,,,,canvas,,,,,cafe,,,,,,,,,,,
575,,,,,,wall,,,,,hopeful,,,,,,,,,,,
576,,,,,,manager,,,,,fulfilling,,,,,,,,,,,
577,,,,,,feat,,,,,hectic,,,,,,,,,,,
578,,,,,,spot,,,,,loose,,,,,,,,,,,
579,,,,,,jumping,,,,,17th,,,,,,,,,,,
580,,,,,,ramp,,,,,turn-of-the-century,,,,,,,,,,,
581,,,,,,landing,,,,,cultured,,,,,,,,,,,
582,,,,,,motorcycle,,,,,psychic,,,,,,,,,,,
583,,,,,,parachute,,,,,swell,,,,,,,,,,,
584,,,,,,TV,,,,,,,,,,,,,,,,
585,,,,,,event,,,,,,,,,,,,,,,,
586,,,,,,hour,,,,,,,,,,,,,,,,
587,,,,,,meeting,,,,,,,,,,,,,,,,
588,,,,,,contact,,,,,,,,,,,,,,,,
589,,,,,,departure,,,,,,,,,,,,,,,,
590,,,,,,revoir,,,,,,,,,,,,,,,,
591,,,,,,bon,,,,,,,,,,,,,,,,
592,,,,,,operation,,,,,,,,,,,,,,,,
593,,,,,,someone,,,,,,,,,,,,,,,,
594,,,,,,blood,,,,,,,,,,,,,,,,
595,,,,,,nurse,,,,,,,,,,,,,,,,
596,,,,,,sort,,,,,,,,,,,,,,,,
597,,,,,,view,,,,,,,,,,,,,,,,
598,,,,,,curiously,,,,,,,,,,,,,,,,
599,,,,,,angrier,,,,,,,,,,,,,,,,
600,,,,,,fright,,,,,,,,,,,,,,,,
601,,,,,,table,,,,,,,,,,,,,,,,
602,,,,,,demonstration,,,,,,,,,,,,,,,,
603,,,,,,class,,,,,,,,,,,,,,,,
604,,,,,,teacher,,,,,,,,,,,,,,,,
605,,,,,,ignorance,,,,,,,,,,,,,,,,
606,,,,,,subject,,,,,,,,,,,,,,,,
607,,,,,,sanatorium,,,,,,,,,,,,,,,,
608,,,,,,expert,,,,,,,,,,,,,,,,
609,,,,,,sample,,,,,,,,,,,,,,,,
610,,,,,,news,,,,,,,,,,,,,,,,
611,,,,,,history,,,,,,,,,,,,,,,,
612,,,,,,savior,,,,,,,,,,,,,,,,
613,,,,,,domain,,,,,,,,,,,,,,,,
614,,,,,,progress,,,,,,,,,,,,,,,,
615,,,,,,understanding,,,,,,,,,,,,,,,,
616,,,,,,concept,,,,,,,,,,,,,,,,
617,,,,,,lecture,,,,,,,,,,,,,,,,
618,,,,,,sense,,,,,,,,,,,,,,,,
619,,,,,,futility,,,,,,,,,,,,,,,,
620,,,,,,despair,,,,,,,,,,,,,,,,
621,,,,,,eerie,,,,,,,,,,,,,,,,
622,,,,,,fiction,,,,,,,,,,,,,,,,
623,,,,,,quality,,,,,,,,,,,,,,,,
624,,,,,,presentation,,,,,,,,,,,,,,,,
625,,,,,,involvement,,,,,,,,,,,,,,,,
626,,,,,,role,,,,,,,,,,,,,,,,
627,,,,,,coagulation,,,,,,,,,,,,,,,,
628,,,,,,task,,,,,,,,,,,,,,,,
629,,,,,,population,,,,,,,,,,,,,,,,
630,,,,,,hunger,,,,,,,,,,,,,,,,
631,,,,,,patient,,,,,,,,,,,,,,,,
632,,,,,,vaccine,,,,,,,,,,,,,,,,
633,,,,,,egg,,,,,,,,,,,,,,,,
634,,,,,,fraction,,,,,,,,,,,,,,,,
635,,,,,,serum,,,,,,,,,,,,,,,,
636,,,,,,intelligence,,,,,,,,,,,,,,,,
637,,,,,,ability,,,,,,,,,,,,,,,,
638,,,,,,inhumane,,,,,,,,,,,,,,,,
639,,,,,,thought,,,,,,,,,,,,,,,,
640,,,,,,stabs,,,,,,,,,,,,,,,,
641,,,,,,feel,,,,,,,,,,,,,,,,
642,,,,,,urgency,,,,,,,,,,,,,,,,
643,,,,,,commonplace,,,,,,,,,,,,,,,,
644,,,,,,tense,,,,,,,,,,,,,,,,
645,,,,,,eye,,,,,,,,,,,,,,,,
646,,,,,,envy,,,,,,,,,,,,,,,,
647,,,,,,correctly,,,,,,,,,,,,,,,,
648,,,,,,belonging,,,,,,,,,,,,,,,,
649,,,,,,cruise,,,,,,,,,,,,,,,,
650,,,,,,reputation,,,,,,,,,,,,,,,,
651,,,,,,competent,,,,,,,,,,,,,,,,
652,,,,,,office,,,,,,,,,,,,,,,,
653,,,,,,staff,,,,,,,,,,,,,,,,
654,,,,,,dexterity,,,,,,,,,,,,,,,,
655,,,,,,imagery,,,,,,,,,,,,,,,,
656,,,,,,bearing,,,,,,,,,,,,,,,,
657,,,,,,luggage,,,,,,,,,,,,,,,,
658,,,,,,frustration,,,,,,,,,,,,,,,,
659,,,,,,rank,,,,,,,,,,,,,,,,
660,,,,,,judging,,,,,,,,,,,,,,,,
661,,,,,,smile,,,,,,,,,,,,,,,,
662,,,,,,deck,,,,,,,,,,,,,,,,
663,,,,,,payoff,,,,,,,,,,,,,,,,
664,,,,,,smuggling,,,,,,,,,,,,,,,,
665,,,,,,favor,,,,,,,,,,,,,,,,
666,,,,,,payment,,,,,,,,,,,,,,,,
667,,,,,,engineer,,,,,,,,,,,,,,,,
668,,,,,,desk,,,,,,,,,,,,,,,,
669,,,,,,designer,,,,,,,,,,,,,,,,
670,,,,,,frame,,,,,,,,,,,,,,,,
671,,,,,,unit,,,,,,,,,,,,,,,,
672,,,,,,choice,,,,,,,,,,,,,,,,
673,,,,,,capacity,,,,,,,,,,,,,,,,
674,,,,,,model,,,,,,,,,,,,,,,,
675,,,,,,exposure,,,,,,,,,,,,,,,,
676,,,,,,kitchen,,,,,,,,,,,,,,,,
677,,,,,,Tomorrow,,,,,,,,,,,,,,,,
678,,,,,,thinking,,,,,,,,,,,,,,,,
679,,,,,,daydreaming,,,,,,,,,,,,,,,,
680,,,,,,father/husband,,,,,,,,,,,,,,,,
681,,,,,,quit,,,,,,,,,,,,,,,,
682,,,,,,leave,,,,,,,,,,,,,,,,
683,,,,,,intent,,,,,,,,,,,,,,,,
684,,,,,,lottery,,,,,,,,,,,,,,,,
685,,,,,,con,,,,,,,,,,,,,,,,
686,,,,,,artist,,,,,,,,,,,,,,,,
687,,,,,,knowing,,,,,,,,,,,,,,,,
688,,,,,,hustler,,,,,,,,,,,,,,,,
689,,,,,,out,,,,,,,,,,,,,,,,
690,,,,,,scenery,,,,,,,,,,,,,,,,
691,,,,,,stroll,,,,,,,,,,,,,,,,
692,,,,,,dinner,,,,,,,,,,,,,,,,
693,,,,,,restaurant,,,,,,,,,,,,,,,,
694,,,,,,center,,,,,,,,,,,,,,,,
695,,,,,,boss,,,,,,,,,,,,,,,,
696,,,,,,jeopardy,,,,,,,,,,,,,,,,
697,,,,,,rabid,,,,,,,,,,,,,,,,
698,,,,,,elixir,,,,,,,,,,,,,,,,
699,,,,,,grade,,,,,,,,,,,,,,,,
700,,,,,,radium,,,,,,,,,,,,,,,,
701,,,,,,glowing,,,,,,,,,,,,,,,,
702,,,,,,human,,,,,,,,,,,,,,,,
703,,,,,,drug,,,,,,,,,,,,,,,,
704,,,,,,boyfriend,,,,,,,,,,,,,,,,
705,,,,,,illumination,,,,,,,,,,,,,,,,
706,,,,,,race,,,,,,,,,,,,,,,,
707,,,,,,winner,,,,,,,,,,,,,,,,
708,,,,,,diagnosis,,,,,,,,,,,,,,,,
709,,,,,,accomplishment,,,,,,,,,,,,,,,,
710,,,,,,self-fulfillment,,,,,,,,,,,,,,,,
711,,,,,,circus,,,,,,,,,,,,,,,,
712,,,,,,act,,,,,,,,,,,,,,,,
713,,,,,,star,,,,,,,,,,,,,,,,
714,,,,,,performance,,,,,,,,,,,,,,,,
715,,,,,,start,,,,,,,,,,,,,,,,
716,,,,,,incident,,,,,,,,,,,,,,,,
717,,,,,,swing,,,,,,,,,,,,,,,,
718,,,,,,neck,,,,,,,,,,,,,,,,
719,,,,,,photo,,,,,,,,,,,,,,,,
720,,,,,,bedroom,,,,,,,,,,,,,,,,
721,,,,,,foreplay,,,,,,,,,,,,,,,,
722,,,,,,completion,,,,,,,,,,,,,,,,
723,,,,,,jump,,,,,,,,,,,,,,,,
724,,,,,,highlight,,,,,,,,,,,,,,,,
725,,,,,,fantasy,,,,,,,,,,,,,,,,
726,,,,,,phase,,,,,,,,,,,,,,,,
727,,,,,,diving,,,,,,,,,,,,,,,,
728,,,,,,sponge,,,,,,,,,,,,,,,,
729,,,,,,excitement,,,,,,,,,,,,,,,,
730,,,,,,existence,,,,,,,,,,,,,,,,
731,,,,,,connection,,,,,,,,,,,,,,,,
732,,,,,,dirty,,,,,,,,,,,,,,,,
733,,,,,,skill,,,,,,,,,,,,,,,,
734,,,,,,coordination,,,,,,,,,,,,,,,,
735,,,,,,horse,,,,,,,,,,,,,,,,
736,,,,,,trainer,,,,,,,,,,,,,,,,
737,,,,,,princess,,,,,,,,,,,,,,,,
738,,,,,,prize,,,,,,,,,,,,,,,,
739,,,,,,stable,,,,,,,,,,,,,,,,
740,,,,,,homeland,,,,,,,,,,,,,,,,
741,,,,,,agreement,,,,,,,,,,,,,,,,
742,,,,,,border,,,,,,,,,,,,,,,,
743,,,,,,collie,,,,,,,,,,,,,,,,
744,,,,,,drunken,,,,,,,,,,,,,,,,
745,,,,,,dad,,,,,,,,,,,,,,,,
746,,,,,,team,,,,,,,,,,,,,,,,
747,,,,,,barn,,,,,,,,,,,,,,,,
748,,,,,,story,,,,,,,,,,,,,,,,
749,,,,,,farm,,,,,,,,,,,,,,,,
750,,,,,,disgust,,,,,,,,,,,,,,,,
751,,,,,,house,,,,,,,,,,,,,,,,
752,,,,,,care,,,,,,,,,,,,,,,,
753,,,,,,grooming,,,,,,,,,,,,,,,,
754,,,,,,estate,,,,,,,,,,,,,,,,
755,,,,,,farming,,,,,,,,,,,,,,,,
756,,,,,,efficacy,,,,,,,,,,,,,,,,
757,,,,,,passing,,,,,,,,,,,,,,,,
758,,,,,,tradition,,,,,,,,,,,,,,,,
759,,,,,,countryside,,,,,,,,,,,,,,,,
760,,,,,,speaking,,,,,,,,,,,,,,,,
761,,,,,,crime,,,,,,,,,,,,,,,,
762,,,,,,hold,,,,,,,,,,,,,,,,
763,,,,,,death,,,,,,,,,,,,,,,,
764,,,,,,murderer,,,,,,,,,,,,,,,,
765,,,,,,crewman,,,,,,,,,,,,,,,,
766,,,,,,accident,,,,,,,,,,,,,,,,
767,,,,,,battleship,,,,,,,,,,,,,,,,
768,,,,,,mission,,,,,,,,,,,,,,,,
769,,,,,,detective,,,,,,,,,,,,,,,,
770,,,,,,theft,,,,,,,,,,,,,,,,
771,,,,,,thief,,,,,,,,,,,,,,,,
772,,,,,,interviewing,,,,,,,,,,,,,,,,
773,,,,,,trap,,,,,,,,,,,,,,,,
774,,,,,,diamond,,,,,,,,,,,,,,,,
775,,,,,,ring,,,,,,,,,,,,,,,,
776,,,,,,summer,,,,,,,,,,,,,,,,
777,,,,,,roundtrip,,,,,,,,,,,,,,,,
778,,,,,,weekend,,,,,,,,,,,,,,,,
779,,,,,,vacation,,,,,,,,,,,,,,,,
780,,,,,,stop,,,,,,,,,,,,,,,,
