,Input Sentence,Tokenizer,POS,Great Filter,POW,ACH,AFF,Unnamed
208,"The experiment they are doing is very important and the results will have influence on the lives of many people.
","['The', 'experiment', 'they', 'are', 'doing', 'is', 'very', 'important', 'and', 'the', 'results', 'will', 'have', 'influence', 'on', 'the', 'lives', 'of', 'many', 'people', '.']","['DT', 'NN', 'PRP', 'VBP', 'VBG', 'VBZ', 'RB', 'JJ', 'CC', 'DT', 'NNS', 'MD', 'VB', 'NN', 'IN', 'DT', 'NNS', 'IN', 'JJ', 'NNS', '.']",Pass,yes,no,no,
209,"It is a tedious chore, but must be done.
","['It', 'is', 'a', 'tedious', 'chore', ',', 'but', 'must', 'be', 'done', '.']","['PRP', 'VBZ', 'DT', 'JJ', 'NN', ',', 'CC', 'MD', 'VB', 'VBN', '.']",Pass,no,no,no,
210,"The woman who is looking on has great respect for the woman working.
","['The', 'woman', 'who', 'is', 'looking', 'on', 'has', 'great', 'respect', 'for', 'the', 'woman', 'working', '.']","['DT', 'NN', 'WP', 'VBZ', 'VBG', 'IN', 'VBZ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'VBG', '.']",Pass,no,no,no,
211,"She is thinking that there is so much to learn--not only from the experiment, but from people--from life, itself.
","['She', 'is', 'thinking', 'that', 'there', 'is', 'so', 'much', 'to', 'learn', '--', 'not', 'only', 'from', 'the', 'experiment', ',', 'but', 'from', 'people', '--', 'from', 'life', ',', 'itself', '.']","['PRP', 'VBZ', 'VBG', 'IN', 'EX', 'VBZ', 'RB', 'JJ', 'TO', 'VB', ':', 'RB', 'RB', 'IN', 'DT', 'NN', ',', 'CC', 'IN', 'NNS', ':', 'IN', 'NN', ',', 'PRP', '.']",Pass,no,no,no,
212,"She perhaps regrets that she is not younger.
","['She', 'perhaps', 'regrets', 'that', 'she', 'is', 'not', 'younger', '.']","['PRP', 'RB', 'VBZ', 'IN', 'PRP', 'VBZ', 'RB', 'JJR', '.']",Removed,no,no,no,
213,"The people are the captain of a ship suspected of carrying drugs into this country and the local chief of police.
","['The', 'people', 'are', 'the', 'captain', 'of', 'a', 'ship', 'suspected', 'of', 'carrying', 'drugs', 'into', 'this', 'country', 'and', 'the', 'local', 'chief', 'of', 'police', '.']","['DT', 'NNS', 'VBP', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'VBG', 'NNS', 'IN', 'DT', 'NN', 'CC', 'DT', 'JJ', 'NN', 'IN', 'NN', '.']",Pass,no,no,no,
214,"The police chief is questioning the captain and is getting rather forceful.
","['The', 'police', 'chief', 'is', 'questioning', 'the', 'captain', 'and', 'is', 'getting', 'rather', 'forceful', '.']","['DT', 'NN', 'NN', 'VBZ', 'VBG', 'DT', 'NN', 'CC', 'VBZ', 'VBG', 'RB', 'JJ', '.']",Pass,yes,no,no,
215,"The captain tells the police chief in no uncertain terms what's what.
","['The', 'captain', 'tells', 'the', 'police', 'chief', 'in', 'no', 'uncertain', 'terms', 'what', ""'s"", 'what', '.']","['DT', 'NN', 'VBZ', 'DT', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'WP', 'VBZ', 'WP', '.']",Pass,no,no,no,
216,"There was an anonymous phone call and several rumors that this ship was bringing drugs into this country.
","['There', 'was', 'an', 'anonymous', 'phone', 'call', 'and', 'several', 'rumors', 'that', 'this', 'ship', 'was', 'bringing', 'drugs', 'into', 'this', 'country', '.']","['EX', 'VBD', 'DT', 'JJ', 'NN', 'NN', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'VBD', 'VBG', 'NNS', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
217,"The captain thinks the police chief is trying to be a little Caesar in his questioning and resents this.
","['The', 'captain', 'thinks', 'the', 'police', 'chief', 'is', 'trying', 'to', 'be', 'a', 'little', 'Caesar', 'in', 'his', 'questioning', 'and', 'resents', 'this', '.']","['DT', 'NN', 'VBZ', 'DT', 'NN', 'NN', 'VBZ', 'VBG', 'TO', 'VB', 'DT', 'JJ', 'NNP', 'IN', 'PRP$', 'NN', 'CC', 'NNS', 'DT', '.']",Pass,yes,no,no,
218,"The captain will be fairly uncooperative and the chief will question others.
","['The', 'captain', 'will', 'be', 'fairly', 'uncooperative', 'and', 'the', 'chief', 'will', 'question', 'others', '.']","['DT', 'NN', 'MD', 'VB', 'RB', 'JJ', 'CC', 'DT', 'NN', 'MD', 'VB', 'NNS', '.']",Pass,no,no,no,
219,"It will touch off enmity between the two.
","['It', 'will', 'touch', 'off', 'enmity', 'between', 'the', 'two', '.']","['PRP', 'MD', 'VB', 'RP', 'NN', 'IN', 'DT', 'CD', '.']",Removed,no,no,no,
220,"A businessman whose son is an ensign in the Navy is boarding his son's ship to visit with his son and to have his son show him about.
","['A', 'businessman', 'whose', 'son', 'is', 'an', 'ensign', 'in', 'the', 'Navy', 'is', 'boarding', 'his', 'son', ""'s"", 'ship', 'to', 'visit', 'with', 'his', 'son', 'and', 'to', 'have', 'his', 'son', 'show', 'him', 'about', '.']","['DT', 'NN', 'WP$', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NNP', 'VBZ', 'VBG', 'PRP$', 'NN', 'POS', 'NN', 'TO', 'VB', 'IN', 'PRP$', 'NN', 'CC', 'TO', 'VB', 'PRP$', 'NN', 'NN', 'PRP', 'IN', '.']",Pass,no,no,yes,
221,"The father very sincerely hoped that the son would go into his business.
","['The', 'father', 'very', 'sincerely', 'hoped', 'that', 'the', 'son', 'would', 'go', 'into', 'his', 'business', '.']","['DT', 'NN', 'RB', 'RB', 'VBD', 'IN', 'DT', 'NN', 'MD', 'VB', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
222,"He was deeply disappointed when his son chose a Naval career.
","['He', 'was', 'deeply', 'disappointed', 'when', 'his', 'son', 'chose', 'a', 'Naval', 'career', '.']","['PRP', 'VBD', 'RB', 'JJ', 'WRB', 'PRP$', 'NN', 'VBD', 'DT', 'NNP', 'NN', '.']",Removed,yes,no,no,
223,"Encouraged by his son's pride, yet still skeptical, he visits the ship.
","['Encouraged', 'by', 'his', 'son', ""'s"", 'pride', ',', 'yet', 'still', 'skeptical', ',', 'he', 'visits', 'the', 'ship', '.']","['VBN', 'IN', 'PRP$', 'NN', 'POS', 'NN', ',', 'RB', 'RB', 'JJ', ',', 'PRP', 'VBZ', 'DT', 'NN', '.']",Pass,no,no,no,
224,"The father, very skeptical about the Navy, is talking to the skipper, who praises his son as an excellent man with a promising future.
","['The', 'father', ',', 'very', 'skeptical', 'about', 'the', 'Navy', ',', 'is', 'talking', 'to', 'the', 'skipper', ',', 'who', 'praises', 'his', 'son', 'as', 'an', 'excellent', 'man', 'with', 'a', 'promising', 'future', '.']","['DT', 'NN', ',', 'RB', 'JJ', 'IN', 'DT', 'NNP', ',', 'VBZ', 'VBG', 'TO', 'DT', 'NN', ',', 'WP', 'VBZ', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",Pass,no,yes,no,
225,"The father sees the son and, after seeing the ship, changes his attitude from skepticism to pride.
","['The', 'father', 'sees', 'the', 'son', 'and', ',', 'after', 'seeing', 'the', 'ship', ',', 'changes', 'his', 'attitude', 'from', 'skepticism', 'to', 'pride', '.']","['DT', 'NN', 'VBZ', 'DT', 'NN', 'CC', ',', 'IN', 'VBG', 'DT', 'NN', ',', 'VBZ', 'PRP$', 'NN', 'IN', 'NN', 'TO', 'VB', '.']",Pass,no,no,no,
226,"Mr. X has unfortunately been unable to locate a friend of his departing for Europe aboard the S. S. Potter.
","['Mr.', 'X', 'has', 'unfortunately', 'been', 'unable', 'to', 'locate', 'a', 'friend', 'of', 'his', 'departing', 'for', 'Europe', 'aboard', 'the', 'S.', 'S.', 'Potter', '.']","['NNP', 'NNP', 'VBZ', 'RB', 'VBN', 'JJ', 'TO', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'VBG', 'IN', 'NNP', 'IN', 'DT', 'NNP', 'NNP', 'NNP', '.']",Pass,no,no,yes,
227,"The boat's purser is on hand for some advice.
","['The', 'boat', ""'s"", 'purser', 'is', 'on', 'hand', 'for', 'some', 'advice', '.']","['DT', 'NN', 'POS', 'NN', 'VBZ', 'IN', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
228,"Mr. X has wandered through all decks of the ship in a vain effort to find his friend.
","['Mr.', 'X', 'has', 'wandered', 'through', 'all', 'decks', 'of', 'the', 'ship', 'in', 'a', 'vain', 'effort', 'to', 'find', 'his', 'friend', '.']","['NNP', 'NNP', 'VBZ', 'VBN', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'TO', 'VB', 'PRP$', 'NN', '.']",Pass,no,no,yes,
229,"Exasperated, he has sought help.
","['Exasperated', ',', 'he', 'has', 'sought', 'help', '.']","['VBN', ',', 'PRP', 'VBZ', 'VBN', 'NN', '.']",Removed,no,no,no,
230,"Mr. Xis concerned lest he not find his acquaintance in time, for not seeing him off would be an unfortunate faux pas.
","['Mr.', 'Xis', 'concerned', 'lest', 'he', 'not', 'find', 'his', 'acquaintance', 'in', 'time', ',', 'for', 'not', 'seeing', 'him', 'off', 'would', 'be', 'an', 'unfortunate', 'faux', 'pas', '.']","['NNP', 'NNP', 'VBD', 'JJS', 'PRP', 'RB', 'VB', 'PRP$', 'NN', 'IN', 'NN', ',', 'IN', 'RB', 'VBG', 'PRP', 'RP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NN', '.']",Pass,no,no,yes,
231,"The purser will check the records and undoubtedly find the friend.
","['The', 'purser', 'will', 'check', 'the', 'records', 'and', 'undoubtedly', 'find', 'the', 'friend', '.']","['DT', 'NN', 'MD', 'VB', 'DT', 'NNS', 'CC', 'RB', 'VB', 'DT', 'NN', '.']",Pass,no,no,no,
232,"The captain of the Queen Mary is explaining to a passenger that he cannot leave the ship.
","['The', 'captain', 'of', 'the', 'Queen', 'Mary', 'is', 'explaining', 'to', 'a', 'passenger', 'that', 'he', 'can', 'not', 'leave', 'the', 'ship', '.']","['DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'VBZ', 'VBG', 'TO', 'DT', 'NN', 'IN', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NN', '.']",Pass,no,no,no,
233,"The fellow is insisting upon doing so, but the captain is, after all, the master.
","['The', 'fellow', 'is', 'insisting', 'upon', 'doing', 'so', ',', 'but', 'the', 'captain', 'is', ',', 'after', 'all', ',', 'the', 'master', '.']","['DT', 'NN', 'VBZ', 'VBG', 'IN', 'VBG', 'RB', ',', 'CC', 'DT', 'NN', 'VBZ', ',', 'IN', 'DT', ',', 'DT', 'NN', '.']",Pass,yes,no,no,
234,"The passenger has left his wallet at home in Greenwich, Connecticut with his passport and, of course, his money.
","['The', 'passenger', 'has', 'left', 'his', 'wallet', 'at', 'home', 'in', 'Greenwich', ',', 'Connecticut', 'with', 'his', 'passport', 'and', ',', 'of', 'course', ',', 'his', 'money', '.']","['DT', 'NN', 'VBZ', 'VBN', 'PRP$', 'NN', 'IN', 'NN', 'IN', 'NNP', ',', 'NNP', 'IN', 'PRP$', 'NN', 'CC', ',', 'IN', 'NN', ',', 'PRP$', 'NN', '.']",Pass,no,no,no,
235,"Therefore he naturally desires to disembark from the ship.
","['Therefore', 'he', 'naturally', 'desires', 'to', 'disembark', 'from', 'the', 'ship', '.']","['RB', 'PRP', 'RB', 'VBZ', 'TO', 'VB', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
236,"The captain thinks he is crazy.
","['The', 'captain', 'thinks', 'he', 'is', 'crazy', '.']","['DT', 'NN', 'VBZ', 'PRP', 'VBZ', 'JJ', '.']",Pass,no,no,no,
237,"The passenger thinks the captain is a lunatic.
","['The', 'passenger', 'thinks', 'the', 'captain', 'is', 'a', 'lunatic', '.']","['DT', 'NN', 'VBZ', 'DT', 'NN', 'VBZ', 'DT', 'JJ', '.']",Pass,no,no,no,
238,"However, the ship is ten miles out from shore.
","['However', ',', 'the', 'ship', 'is', 'ten', 'miles', 'out', 'from', 'shore', '.']","['RB', ',', 'DT', 'NN', 'VBZ', 'JJ', 'NNS', 'RP', 'IN', 'NN', '.']",Pass,no,no,no,
239,"The passenger is, therefore, out of his mind.
","['The', 'passenger', 'is', ',', 'therefore', ',', 'out', 'of', 'his', 'mind', '.']","['DT', 'NN', 'VBZ', ',', 'RB', ',', 'IN', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
240,"A tourist is asking directions of a ship's officer before embarking on a tour of the port.
","['A', 'tourist', 'is', 'asking', 'directions', 'of', 'a', 'ship', ""'s"", 'officer', 'before', 'embarking', 'on', 'a', 'tour', 'of', 'the', 'port', '.']","['DT', 'NN', 'VBZ', 'VBG', 'NNS', 'IN', 'DT', 'NN', 'POS', 'NN', 'IN', 'VBG', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
241,"The boat has sailed from the home port of the tourist, arrived at the visited port and after a night's sleep (the ship arrived in the evening), the tourist is curious to explore the port.
","['The', 'boat', 'has', 'sailed', 'from', 'the', 'home', 'port', 'of', 'the', 'tourist', ',', 'arrived', 'at', 'the', 'visited', 'port', 'and', 'after', 'a', 'night', ""'s"", 'sleep', '(', 'the', 'ship', 'arrived', 'in', 'the', 'evening', ')', ',', 'the', 'tourist', 'is', 'curious', 'to', 'explore', 'the', 'port', '.']","['DT', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', ',', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'CC', 'IN', 'DT', 'NN', 'POS', 'NN', '(', 'DT', 'NN', 'VBD', 'IN', 'DT', 'NN', ')', ',', 'DT', 'NN', 'VBZ', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']",Pass,no,no,no,
242,"Instructions as to interesting sights, places, etc.
","['Instructions', 'as', 'to', 'interesting', 'sights', ',', 'places', ',', 'etc', '.']","['NNS', 'IN', 'TO', 'VBG', 'NNS', ',', 'NNS', ',', 'FW', '.']",Removed,no,no,no,
243,"are desired of the officer.
","['are', 'desired', 'of', 'the', 'officer', '.']","['VBP', 'VBN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
244,"The tourist will receive what he wants and embark on his exploration.
","['The', 'tourist', 'will', 'receive', 'what', 'he', 'wants', 'and', 'embark', 'on', 'his', 'exploration', '.']","['DT', 'NN', 'MD', 'VB', 'WP', 'PRP', 'VBZ', 'CC', 'NN', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
245,"The captain has discovered a stowaway and is in the process of severely reprimanding him.
","['The', 'captain', 'has', 'discovered', 'a', 'stowaway', 'and', 'is', 'in', 'the', 'process', 'of', 'severely', 'reprimanding', 'him', '.']","['DT', 'NN', 'VBZ', 'VBN', 'DT', 'NN', 'CC', 'VBZ', 'IN', 'DT', 'NN', 'IN', 'RB', 'VBG', 'PRP', '.']",Pass,yes,no,no,
246,"The stowaway is an unhappy gentleman who wishes to return to the fatherland.
","['The', 'stowaway', 'is', 'an', 'unhappy', 'gentleman', 'who', 'wishes', 'to', 'return', 'to', 'the', 'fatherland', '.']","['DT', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'WP', 'VBZ', 'TO', 'VB', 'TO', 'DT', 'NN', '.']",Pass,no,no,no,
247,"He has been disillusioned by life in America.
","['He', 'has', 'been', 'disillusioned', 'by', 'life', 'in', 'America', '.']","['PRP', 'VBZ', 'VBN', 'VBN', 'IN', 'NN', 'IN', 'NNP', '.']",Removed,no,no,no,
248,"The captain is also a skeptical liberal thinker lacking the courage to do the same thing.
","['The', 'captain', 'is', 'also', 'a', 'skeptical', 'liberal', 'thinker', 'lacking', 'the', 'courage', 'to', 'do', 'the', 'same', 'thing', '.']","['DT', 'NN', 'VBZ', 'RB', 'DT', 'JJ', 'JJ', 'NN', 'VBG', 'DT', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', '.']",Pass,no,no,no,
249,"The captain is doubtful in his own beliefs but admires the fortitude of the gentleman who wants to stow away.
","['The', 'captain', 'is', 'doubtful', 'in', 'his', 'own', 'beliefs', 'but', 'admires', 'the', 'fortitude', 'of', 'the', 'gentleman', 'who', 'wants', 'to', 'stow', 'away', '.']","['DT', 'NN', 'VBZ', 'JJ', 'IN', 'PRP$', 'JJ', 'NNS', 'CC', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'WP', 'VBZ', 'TO', 'VB', 'RB', '.']",Pass,no,no,no,
250,"The captain will reluctantly turn the stowaway in to the police.
","['The', 'captain', 'will', 'reluctantly', 'turn', 'the', 'stowaway', 'in', 'to', 'the', 'police', '.']","['DT', 'NN', 'MD', 'RB', 'VB', 'DT', 'NN', 'IN', 'TO', 'DT', 'NN', '.']",Pass,yes,no,no,
251,"His faith in the political system is shaken but not destroyed.
","['His', 'faith', 'in', 'the', 'political', 'system', 'is', 'shaken', 'but', 'not', 'destroyed', '.']","['PRP$', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBZ', 'VBN', 'CC', 'RB', 'VBN', '.']",Pass,no,no,no,
252,"The captain of a ship is talking to a businessman, who is the owner of the ship.
","['The', 'captain', 'of', 'a', 'ship', 'is', 'talking', 'to', 'a', 'businessman', ',', 'who', 'is', 'the', 'owner', 'of', 'the', 'ship', '.']","['DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBG', 'TO', 'DT', 'NN', ',', 'WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
253,"The captain is attempting to explain why the ship, whose funnels are shown in the background, reached port in such bad condition, having twice run into other ships.
","['The', 'captain', 'is', 'attempting', 'to', 'explain', 'why', 'the', 'ship', ',', 'whose', 'funnels', 'are', 'shown', 'in', 'the', 'background', ',', 'reached', 'port', 'in', 'such', 'bad', 'condition', ',', 'having', 'twice', 'run', 'into', 'other', 'ships', '.']","['DT', 'NN', 'VBZ', 'VBG', 'TO', 'VB', 'WRB', 'DT', 'NN', ',', 'WP$', 'NNS', 'VBP', 'VBN', 'IN', 'DT', 'NN', ',', 'VBN', 'NN', 'IN', 'JJ', 'JJ', 'NN', ',', 'VBG', 'RB', 'VBN', 'IN', 'JJ', 'NNS', '.']",Pass,no,no,no,
254,"The owner has accused the captain of poor knowledge of sailing and of negligence.
","['The', 'owner', 'has', 'accused', 'the', 'captain', 'of', 'poor', 'knowledge', 'of', 'sailing', 'and', 'of', 'negligence', '.']","['DT', 'NN', 'VBZ', 'VBN', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'VBG', 'CC', 'IN', 'NN', '.']",Pass,yes,no,no,
255,"The captain is sure he is not at fault; he is proud of his abilities.
","['The', 'captain', 'is', 'sure', 'he', 'is', 'not', 'at', 'fault', ';', 'he', 'is', 'proud', 'of', 'his', 'abilities', '.']","['DT', 'NN', 'VBZ', 'JJ', 'PRP', 'VBZ', 'RB', 'IN', 'NN', ':', 'PRP', 'VBZ', 'JJ', 'IN', 'PRP$', 'NNS', '.']",Pass,he is proud of his abilities.,no,yes,no
256,"He despises the owner for his lack of knowledge of the sea.
","['He', 'despises', 'the', 'owner', 'for', 'his', 'lack', 'of', 'knowledge', 'of', 'the', 'sea', '.']","['PRP', 'VBZ', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
257,"The captain rather than give up the ship, will sink it in port.
","['The', 'captain', 'rather', 'than', 'give', 'up', 'the', 'ship', ',', 'will', 'sink', 'it', 'in', 'port', '.']","['DT', 'NN', 'RB', 'IN', 'VB', 'RP', 'DT', 'NN', ',', 'MD', 'VB', 'PRP', 'IN', 'NN', '.']",Pass,yes,no,no,
258,"An officious father is talking to the captain of the ship the former is about to sail on.
","['An', 'officious', 'father', 'is', 'talking', 'to', 'the', 'captain', 'of', 'the', 'ship', 'the', 'former', 'is', 'about', 'to', 'sail', 'on', '.']","['DT', 'JJ', 'NN', 'VBZ', 'VBG', 'TO', 'DT', 'NN', 'IN', 'DT', 'NN', 'DT', 'JJ', 'VBZ', 'RB', 'TO', 'VB', 'IN', '.']",Pass,no,no,no,
259,"The father thinks he has handled every part of the planning of this trip in a unique way.
","['The', 'father', 'thinks', 'he', 'has', 'handled', 'every', 'part', 'of', 'the', 'planning', 'of', 'this', 'trip', 'in', 'a', 'unique', 'way', '.']","['DT', 'NN', 'VBZ', 'PRP', 'VBZ', 'VBN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",Pass,no,yes,no,
260,"He is talking to the captain because he feels the captain will be as pleased with his presence as he is himself; the father thinking he is being very enlightening in saying nothing and the captain is bearing with him.
","['He', 'is', 'talking', 'to', 'the', 'captain', 'because', 'he', 'feels', 'the', 'captain', 'will', 'be', 'as', 'pleased', 'with', 'his', 'presence', 'as', 'he', 'is', 'himself', ';', 'the', 'father', 'thinking', 'he', 'is', 'being', 'very', 'enlightening', 'in', 'saying', 'nothing', 'and', 'the', 'captain', 'is', 'bearing', 'with', 'him', '.']","['PRP', 'VBZ', 'VBG', 'TO', 'DT', 'NN', 'IN', 'PRP', 'VBZ', 'DT', 'NN', 'MD', 'VB', 'IN', 'JJ', 'IN', 'PRP$', 'NN', 'IN', 'PRP', 'VBZ', 'PRP', ':', 'DT', 'NN', 'NN', 'PRP', 'VBZ', 'VBG', 'RB', 'VBG', 'IN', 'VBG', 'NN', 'CC', 'DT', 'NN', 'VBZ', 'VBG', 'IN', 'PRP', '.']",Pass,the father thinking he is being very enlightening in saying nothing and the captain is bearing with him.,yes,no,no
261,"Nothing will come of the discussion.
","['Nothing', 'will', 'come', 'of', 'the', 'discussion', '.']","['NN', 'MD', 'VB', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
262,"The father will return to face his patient wife and impatient children.
","['The', 'father', 'will', 'return', 'to', 'face', 'his', 'patient', 'wife', 'and', 'impatient', 'children', '.']","['DT', 'NN', 'MD', 'VB', 'TO', 'VB', 'PRP$', 'JJ', 'NN', 'CC', 'JJ', 'NNS', '.']",Pass,no,no,no,
263,"The man in the uniform is a captain on a commercial liner.
","['The', 'man', 'in', 'the', 'uniform', 'is', 'a', 'captain', 'on', 'a', 'commercial', 'liner', '.']","['DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",Pass,no,no,no,
264,"He is at present in conversation with a salesman from a shoe polish company.
","['He', 'is', 'at', 'present', 'in', 'conversation', 'with', 'a', 'salesman', 'from', 'a', 'shoe', 'polish', 'company', '.']","['PRP', 'VBZ', 'IN', 'JJ', 'IN', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'JJ', 'NN', '.']",Pass,no,no,no,
265,"The captain consented to be advertised in a nation-wide magazine as a patron of the particular shoe polish.
","['The', 'captain', 'consented', 'to', 'be', 'advertised', 'in', 'a', 'nation-wide', 'magazine', 'as', 'a', 'patron', 'of', 'the', 'particular', 'shoe', 'polish', '.']","['DT', 'NN', 'VBD', 'TO', 'VB', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', '.']",Pass,no,no,no,
266,"he did this at the expense of his personal pride, as he was broke.
","['he', 'did', 'this', 'at', 'the', 'expense', 'of', 'his', 'personal', 'pride', ',', 'as', 'he', 'was', 'broke', '.']","['PRP', 'VBD', 'DT', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'JJ', 'NN', ',', 'IN', 'PRP', 'VBD', 'RB', '.']",Pass,no,no,no,
267,"The captain is complaining he was underpaid for the humiliation he encountered.
","['The', 'captain', 'is', 'complaining', 'he', 'was', 'underpaid', 'for', 'the', 'humiliation', 'he', 'encountered', '.']","['DT', 'NN', 'VBZ', 'VBG', 'PRP', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'PRP', 'VBD', '.']",Pass,yes,no,no,
268,"He wants more money or at least some reasonable compensation.
","['He', 'wants', 'more', 'money', 'or', 'at', 'least', 'some', 'reasonable', 'compensation', '.']","['PRP', 'VBZ', 'JJR', 'NN', 'CC', 'IN', 'JJS', 'DT', 'JJ', 'NN', '.']",Pass,no,no,no,
269,"He divulges his like for the shoe polish.
","['He', 'divulges', 'his', 'like', 'for', 'the', 'shoe', 'polish', '.']","['PRP', 'VBZ', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'NN', '.']",Pass,no,no,no,
270,"The captain will get a free case of shoe polish but to save any possible embarrassment, will illicitly grant the merchant a free trip to the shoe polish factories.
","['The', 'captain', 'will', 'get', 'a', 'free', 'case', 'of', 'shoe', 'polish', 'but', 'to', 'save', 'any', 'possible', 'embarrassment', ',', 'will', 'illicitly', 'grant', 'the', 'merchant', 'a', 'free', 'trip', 'to', 'the', 'shoe', 'polish', 'factories', '.']","['DT', 'NN', 'MD', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NN', 'JJ', 'CC', 'TO', 'VB', 'DT', 'JJ', 'NN', ',', 'MD', 'RB', 'VB', 'DT', 'NN', 'DT', 'JJ', 'NN', 'TO', 'DT', 'JJ', 'JJ', 'NNS', '.']",Pass,no,no,no,
271,"Mr. Smith's having an argument with Captain Pright over his accommodation aboard ship.
","['Mr.', 'Smith', ""'s"", 'having', 'an', 'argument', 'with', 'Captain', 'Pright', 'over', 'his', 'accommodation', 'aboard', 'ship', '.']","['NNP', 'NNP', 'POS', 'VBG', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'IN', 'PRP$', 'NN', 'IN', 'NN', '.']",Pass,yes,no,no,
272,"Mr. Smith was supposed to get Class A passage, but had to be given Class B due to a clerical error.
","['Mr.', 'Smith', 'was', 'supposed', 'to', 'get', 'Class', 'A', 'passage', ',', 'but', 'had', 'to', 'be', 'given', 'Class', 'B', 'due', 'to', 'a', 'clerical', 'error', '.']","['NNP', 'NNP', 'VBD', 'VBN', 'TO', 'VB', 'NNP', 'NNP', 'NN', ',', 'CC', 'VBD', 'TO', 'VB', 'VBN', 'NNP', 'NNP', 'JJ', 'TO', 'DT', 'JJ', 'NN', '.']",Pass,no,no,no,
273,"The captain can not see why Mr. Smith can't understand the mistake, and he is mad.
","['The', 'captain', 'can', 'not', 'see', 'why', 'Mr.', 'Smith', 'ca', ""n't"", 'understand', 'the', 'mistake', ',', 'and', 'he', 'is', 'mad', '.']","['DT', 'NN', 'MD', 'RB', 'VB', 'WRB', 'NNP', 'NNP', 'MD', 'RB', 'VB', 'DT', 'NN', ',', 'CC', 'PRP', 'VBZ', 'JJ', '.']",Pass,yes,no,no,
274,"He wishes that Mr. Smith would just take Class Band clam up.
","['He', 'wishes', 'that', 'Mr.', 'Smith', 'would', 'just', 'take', 'Class', 'Band', 'clam', 'up', '.']","['PRP', 'VBZ', 'IN', 'NNP', 'NNP', 'MD', 'RB', 'VB', 'NN', 'NNP', 'VBZ', 'RP', '.']",Removed,no,no,no,
275,"Mr. Smith on the other hand is giving the captain a hard time to get a Class A cabin.
","['Mr.', 'Smith', 'on', 'the', 'other', 'hand', 'is', 'giving', 'the', 'captain', 'a', 'hard', 'time', 'to', 'get', 'a', 'Class', 'A', 'cabin', '.']","['NNP', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'VBZ', 'VBG', 'DT', 'NN', 'DT', 'JJ', 'NN', 'TO', 'VB', 'DT', 'NN', 'NNP', 'NN', '.']",Pass,yes,no,no,
